award_id,award_name,award_type,award_category,award_class
0,MOJO Awards,MOJO Awards,_,GenericAward
1,Grammy Award for Best Rock Performance by a Duo or Group with Vocal,Grammy Award,Best Rock Performance by a Duo or Group with Vocal,GrammyAward
2,MTV Europe Music Award for Best Album,MTV Europe Music Award,Best Album,MTVAward
3,Grammy Award for Best Rock Album,Grammy Award,Best Rock Album,GrammyAward
4,Grammy Award for Best Dance/Electronic Album,Grammy Award,Best Dance/Electronic Album,GrammyAward
5,Grammy Award for Album of the Year,Grammy Award,Album of the Year,GrammyAward
6,Grammy Award for Best Pop Duo/Group Performance,Grammy Award,Best Pop Duo/Group Performance,GrammyAward
7,MTV Europe Music Award for Best Group,MTV Europe Music Award,Best Group,MTVAward
8,Grammy Award for Best Melodic Rap Performance,Grammy Award,Best Melodic Rap Performance,GrammyAward
9,Grammy Award for Record of the Year,Grammy Award,Record of the Year,GrammyAward
10,Grammy Award for Best Male Rock Vocal Performance,Grammy Award,Best Male Rock Vocal Performance,GrammyAward
11,Johnny Mercer Award,Johnny Mercer Award,_,GenericAward
12,Grammy Award for Best Male Pop Vocal Performance,Grammy Award,Best Male Pop Vocal Performance,GrammyAward
13,Grammy Lifetime Achievement Award,Grammy Lifetime Achievement Award,_,GrammyAward
14,Grammy Award for Best R&B Song,Grammy Award,Best R&B Song,GrammyAward
15,Grammy Award for Best Music Video,Grammy Award,Best Music Video,GrammyAward
16,Grammy Award for Song of the Year,Grammy Award,Song of the Year,GrammyAward
17,Grammy Award for Best Pop Collaboration with Vocals,Grammy Award,Best Pop Collaboration with Vocals,GrammyAward
18,Academy Award for Best Original Song,Academy Award,Best Original Song,AcademyAward
19,Grammy Award for Best Pop Solo Performance,Grammy Award,Best Pop Solo Performance,GrammyAward
20,Grammy Award for Best Progressive R&B Album,Grammy Award,Best Progressive R&B Album,GrammyAward
21,Los Premios MTV Latinoamérica,Los Premios MTV Latinoamérica,_,MTVAward
22,Latin Grammy Award for Best Female Pop Vocal Album,Latin Grammy Award,Best Female Pop Vocal Album,GrammyAward
23,Billboard Latin Music Awards,Billboard Latin Music Awards,_,BillboardAward
24,Grammy Award for Best Pop Vocal Album,Grammy Award,Best Pop Vocal Album,GrammyAward
25,Grammy Trustees Award,Grammy Trustees Award,_,GrammyAward
26,American Music Award for Favorite Rap/Hip-Hop Artist,American Music Award,Favorite Rap/Hip-Hop Artist,AmericanMusicAward
27,Silver Harp,Silver Harp,_,GenericAward
28,Golden Harp,Golden Harp,_,GenericAward
29,Grammy Awards,Grammy Awards,_,GrammyAward
30,MTV Europe Music Award for Best Dutch Act,MTV Europe Music Award,Best Dutch Act,MTVAward
31,MusiCares Person of the Year,MusiCares Person of the Year,_,GenericAward
32,Golden Globe Award for Best Original Song,Golden Globe Award,Best Original Song,GenericAward
33,Grammy Award for Best Rap Performance,Grammy Award,Best Rap Performance,GrammyAward
34,Latin Grammy Award for Best Ranchero/Mariachi Album,Latin Grammy Award,Best Ranchero/Mariachi Album,GrammyAward
35,Grammy Award for Best Contemporary R&B Album,Grammy Award,Best Contemporary R&B Album,GrammyAward
36,Grammy Award for Best Female R&B Vocal Performance,Grammy Award,Best Female R&B Vocal Performance,GrammyAward
37,Grammy Award for Best Traditional R&B Performance,Grammy Award,Best Traditional R&B Performance,GrammyAward
38,Grammy Award for Best R&B Performance by a Duo or Group with Vocals,Grammy Award,Best R&B Performance by a Duo or Group with Vocals,GrammyAward
39,Grammy Award for Best Female Pop Vocal Performance,Grammy Award,Best Female Pop Vocal Performance,GrammyAward
40,Latin Grammy Award for Best Tropical Song,Latin Grammy Award,Best Tropical Song,GrammyAward
41,Rockbjörnen,Rockbjörnen,_,GenericAward
42,Echo Music Prize,Echo Music Prize,_,GenericAward
43,VIVA Comet Awards,VIVA Comet Awards,_,GenericAward
44,American Music Award for Favorite Pop/Rock Female Artist,American Music Award,Favorite Pop/Rock Female Artist,AmericanMusicAward
45,MTV Europe Music Award for Best R&B,MTV Europe Music Award,Best R&B,MTVAward
46,Bollywood Movie Award – Best Music Director,Bollywood Movie Award,Best Music Director,GenericAward
47,Broadcast Film Critics Association Award for Best Song,Broadcast Film Critics Association Award,Best Song,GenericAward
48,Academy Award for Best Original Score,Academy Award,Best Original Score,AcademyAward
49,BAFTA Award for Best Original Music,BAFTA Award,Best Original Music,GenericAward
50,Polar Music Prize,Polar Music Prize,_,GenericAward
51,Juno Award for International Entertainer of the Year,Juno Award,International Entertainer of the Year,JunoAward
52,"Grammy Award for Best Arrangement, Instrumental and Vocals",Grammy Award,"Best Arrangement, Instrumental and Vocals",GrammyAward
53,Latin Grammy Award for Best Rock Song,Latin Grammy Award,Best Rock Song,GrammyAward
54,Latin Grammy Award for Best Rock Album,Latin Grammy Award,Best Rock Album,GrammyAward
55,"Latin Grammy Award for Best Rock Vocal Album, Duo or Group",Latin Grammy Award,"Best Rock Vocal Album, Duo or Group",GrammyAward
56,Gershwin Prize,Gershwin Prize,_,GenericAward
57,MTV Europe Music Award for Best Spanish Act,MTV Europe Music Award,Best Spanish Act,MTVAward
58,ASCAP Latin Heritage Award,ASCAP Latin Heritage Award,_,GenericAward
59,Grammy Award for Best Solo Rock Vocal Performance,Grammy Award,Best Solo Rock Vocal Performance,GrammyAward
60,Willie Nelson Lifetime Achievement Award,Willie Nelson Lifetime Achievement Award,_,GenericAward
61,Americana Award for Artist of the Year,Americana Award,Artist of the Year,AmericanaAward
62,"""Spirit of Americana"" Free Speech Award","""Spirit of Americana"" Free Speech Award",_,AmericanaAward
63,Grammy Award for Best Score Soundtrack for Visual Media,Grammy Award,Best Score Soundtrack for Visual Media,GrammyAward
64,Saturn Award for Best Music,Saturn Award,Best Music,GenericAward
65,Academy Award for Best Original Song Score,Academy Award,Best Original Song Score,AcademyAward
66,Academy Award for Best Original Dramatic Score,Academy Award,Best Original Dramatic Score,AcademyAward
67,Latin Grammy Lifetime Achievement Award,Latin Grammy Lifetime Achievement Award,_,GrammyAward
68,International Dance Music Awards,International Dance Music Awards,_,GenericAward
69,Latin Grammy Award for Best Reggaeton Performance,Latin Grammy Award,Best Reggaeton Performance,GrammyAward
70,Juno Award for Songwriter of the Year,Juno Award,Songwriter of the Year,JunoAward
71,Juno International Achievement Award,Juno International Achievement Award,_,JunoAward
72,Jack Richardson Producer of the Year Award,Jack Richardson Producer of the Year Award,_,GenericAward
73,Latin Grammy Award for Best Banda Album,Latin Grammy Award,Best Banda Album,GrammyAward
74,Georgia Music Hall of Fame,Georgia Music Hall of Fame,_,GenericAward
75,Gramophone Award for Lifetime Achievement,Gramophone Award,Lifetime Achievement,GramophoneAward
76,Grammy Award for Best Country Song,Grammy Award,Best Country Song,GrammyAward
77,Country Music Association Award for Entertainer of the Year,Country Music Association Award,Entertainer of the Year,GenericAward
78,American Music Award for Favorite Country Album,American Music Award,Favorite Country Album,AmericanMusicAward
79,QQ Music Awards,QQ Music Awards,_,GenericAward
80,Juno Award for Country Album of the Year,Juno Award,Country Album of the Year,JunoAward
81,Favorite Country New Artist,Favorite Country New Artist,_,GenericAward
82,Grammy Award for Best Country Album,Grammy Award,Best Country Album,GrammyAward
83,American Music Award for Favorite Country Female Artist,American Music Award,Favorite Country Female Artist,AmericanMusicAward
84,Herbert von Karajan Music Prize,Herbert von Karajan Music Prize,_,GenericAward
85,Echo Klassik ensemble/orchestra of the year,Echo Klassik ensemble/orchestra of the year,_,GenericAward
86,Grammy Award for Best Contemporary Folk Album,Grammy Award,Best Contemporary Folk Album,GrammyAward
87,Grammy Award for Best Americana Album,Grammy Award,Best Americana Album,GrammyAward
88,Grammy Award for Best Traditional Folk Album,Grammy Award,Best Traditional Folk Album,GrammyAward
89,Spellemann Award for pop record of the year,Spellemann Award,pop record of the year,SpellemannAward
90,Spellemann Award of the year,Spellemann Award of the year,_,SpellemannAward
91,Spellemann Award for the videoclip of l'any,Spellemann Award,the videoclip of l'any,SpellemannAward
92,Jury Honorary Award in Spellemannprisen,Jury Honorary Award in Spellemannprisen,_,SpellemannAward
93,Shortlist Music Prize,Shortlist Music Prize,_,GenericAward
94,Americana Lifetime Achievement Award for Songwriting,Americana Lifetime Achievement Award,Songwriting,AmericanaAward
95,Grammy Award for Best Male Country Vocal Performance,Grammy Award,Best Male Country Vocal Performance,GrammyAward
96,Favorite Country Male Artist,Favorite Country Male Artist,_,GenericAward
97,The Record of the Year,The Record of the Year,_,GenericAward
98,Prêmio da Música Brasileira,Prêmio da Música Brasileira,_,GenericAward
99,Glenn Gould Prize,Glenn Gould Prize,_,GenericAward
100,Avery Fisher Prize,Avery Fisher Prize,_,GenericAward
101,Léonie Sonning Music Prize,Léonie Sonning Music Prize,_,GenericAward
102,Echo Klassik Award - Instrumentalist of the Year,Echo Klassik Award,Instrumentalist of the Year,GenericAward
103,MOBO Awards,MOBO Awards,_,GenericAward
104,Hans von Bülow Medal,Hans von Bülow Medal,_,GenericAward
105,Ernst von Siemens Music Prize,Ernst von Siemens Music Prize,_,GenericAward
106,Royal Philharmonic Society Gold Medal,Royal Philharmonic Society Gold Medal,_,GenericAward
107,Grammy Award for Best Country & Western Recording,Grammy Award,Best Country & Western Recording,GrammyAward
108,Sibelius Medal,Sibelius Medal,_,GenericAward
109,"Soul Train Music Award for Best R&B/Soul Album, Group Band or Duo",Soul Train Music Award,"Best R&B/Soul Album, Group Band or Duo",SoulTrainAward
110,Covenant Awards,Covenant Awards,_,GenericAward
111,European Film Award for Best Composer,European Film Award,Best Composer,GenericAward
112,Juno Award for Video of the Year,Juno Award,Video of the Year,JunoAward
113,ECHO Pop,ECHO Pop,_,GenericAward
114,Muuvi,Muuvi,_,GenericAward
115,MTV Europe Music Award for Best Finnish Act,MTV Europe Music Award,Best Finnish Act,MTVAward
116,Latin Grammy Award for Best Alternative Song,Latin Grammy Award,Best Alternative Song,GrammyAward
117,Goya Award for Best Original Music,Goya Award,Best Original Music,GenericAward
118,Satellite Award for Best Original Song,Satellite Award,Best Original Song,GenericAward
119,Pulitzer Prize for Music,Pulitzer Prize,Music,GenericAward
120,Latin Grammy Award for Best Pop/Rock Song,Latin Grammy Award,Best Pop/Rock Song,GrammyAward
121,Latin Grammy Award for Best Merengue/Bachata Album,Latin Grammy Award,Best Merengue/Bachata Album,GrammyAward
122,Spellemann Award for choir record of the year,Spellemann Award,choir record of the year,SpellemannAward
123,Icelandic Music Awards,Icelandic Music Awards,_,GenericAward
124,Soul Train Music Award for Best R&B/Soul or Rap New Artist,Soul Train Music Award,Best R&B/Soul or Rap New Artist,SoulTrainAward
125,Paul-Lincke-Ring,Paul-Lincke-Ring,_,GenericAward
126,Juno Award for Best Selling Single,Juno Award,Best Selling Single,JunoAward
127,GAFFA-Prisen,GAFFA-Prisen,_,GenericAward
128,Grammy Award for Best New Age Album,Grammy Award,Best New Age Album,GrammyAward
129,Paul Acket Award,Paul Acket Award,_,GenericAward
130,Prize Franco Abbiati Italian Music,Prize Franco Abbiati Italian Music,_,GenericAward
131,Robert Schumann Prize of the City of Zwickau,Robert Schumann Prize of the City of Zwickau,_,GenericAward
132,Latin Grammy Award for Best Christian Album (Spanish Language),Latin Grammy Award,Best Christian Album (Spanish Language),GrammyAward
133,Qwartz Electronic Music Awards,Qwartz Electronic Music Awards,_,GenericAward
134,Nordic Council Music Prize,Nordic Council Music Prize,_,GenericAward
135,Gramophone Award for Recording of the Year,Gramophone Award,Recording of the Year,GramophoneAward
136,Americana Trailblazer Award,Americana Trailblazer Award,_,AmericanaAward
137,Latin Grammy Award for Best Cumbia/Vallenato Album,Latin Grammy Award,Best Cumbia/Vallenato Album,GrammyAward
138,Juno Award for Pop Album of the Year,Juno Award,Pop Album of the Year,JunoAward
139,Juno Award for Single of the Year,Juno Award,Single of the Year,JunoAward
140,MTV Europe Music Award for Best German Act,MTV Europe Music Award,Best German Act,MTVAward
141,Preis für Popkultur,Preis für Popkultur,_,GenericAward
142,Golden Disk Awards,Golden Disk Awards,_,GenericAward
143,Billboard Music Award for Digital Song of the Year,Billboard Music Award,Digital Song of the Year,BillboardAward
144,LOS40 Music Awards,LOS40 Music Awards,_,GenericAward
145,MTV Europe Music Award for Best Italian Act,MTV Europe Music Award,Best Italian Act,MTVAward
146,Grammy Award for Best Rock Song,Grammy Award,Best Rock Song,GrammyAward
147,Juno Award for Breakthrough Group of the Year,Juno Award,Breakthrough Group of the Year,JunoAward
148,Juno Award for Group of the Year,Juno Award,Group of the Year,JunoAward
149,YouTube Music Awards,YouTube Music Awards,_,GenericAward
150,American Music Award for New Artist of the Year,American Music Award,New Artist of the Year,AmericanMusicAward
151,Kerrang! Awards,Kerrang! Awards,_,GenericAward
152,South African Music Award for Group or Duo of the Year,South African Music Award,Group or Duo of the Year,GenericAward
153,American Music Award for Favorite Contemporary Inspirational Artist,American Music Award,Favorite Contemporary Inspirational Artist,AmericanMusicAward
154,All Africa Music Awards,All Africa Music Awards,_,GenericAward
155,1 Live Krone,1 Live Krone,_,GenericAward
156,Billboard Music Award for Top Christian Album,Billboard Music Award,Top Christian Album,BillboardAward
157,Soul Train Music Best Gospel/Inspirational Award,Soul Train Music Best Gospel/Inspirational Award,_,SoulTrainAward
158,"Stellar Award for Rap, Hip Hop Gospel CD of the Year",Stellar Award,"Rap, Hip Hop Gospel CD of the Year",GenericAward
159,Soul Train Music Award for Best Gospel/Inspirational Song,Soul Train Music Award,Best Gospel/Inspirational Song,SoulTrainAward
160,Favorite Adult Contemporary New Artist,Favorite Adult Contemporary New Artist,_,GenericAward
161,Billboard 21 Under 21,Billboard 21 Under 21,_,BillboardAward
162,American Music Award for Single of the Year,American Music Award,Single of the Year,AmericanMusicAward
163,MTV Europe Music Award for Best French Act,MTV Europe Music Award,Best French Act,MTVAward
164,Teen Choice Awards,Teen Choice Awards,_,GenericAward
165,MTV Europe Music Award for Best Indian Act,MTV Europe Music Award,Best Indian Act,MTVAward
166,Brit Award for British Female Solo Artist,Brit Award,British Female Solo Artist,GenericAward
167,MTV Europe Music Award for Best US Act,MTV Europe Music Award,Best US Act,MTVAward
168,Edison Music Awards,Edison Music Awards,_,GenericAward
169,Americana Award for Emerging Act of the Year,Americana Award,Emerging Act of the Year,AmericanaAward
170,Premio Lo Nuestro,Premio Lo Nuestro,_,GenericAward
171,iHeartRadio Music Awards,iHeartRadio Music Awards,_,GenericAward
172,Juno Award for Electronic Album of the Year,Juno Award,Electronic Album of the Year,JunoAward
173,Juno Award for Breakthrough Artist of the Year,Juno Award,Breakthrough Artist of the Year,JunoAward
174,Kids' Choice Award for Favorite TV Actress,Kids' Choice Award,Favorite TV Actress,GenericAward
175,GLAAD Media Award for Outstanding Music Artist,GLAAD Media Award,Outstanding Music Artist,GenericAward
176,Spellemannprisen for hit of the year,Spellemannprisen,hit of the year,SpellemannAward
177,the P3 award,the P3 award,_,GenericAward
178,MTV Europe Music Award for Best Australian Act,MTV Europe Music Award,Best Australian Act,MTVAward
179,MTV Europe Music Award for Best Nordic Act,MTV Europe Music Award,Best Nordic Act,MTVAward
180,MTV Europe Music Award for Best Swedish Act,MTV Europe Music Award,Best Swedish Act,MTVAward
181,Spellemann Awards for best international success of the year,Spellemann Awards,best international success of the year,SpellemannAward
182,Spellemann Award for singer of the year,Spellemann Award,singer of the year,SpellemannAward
183,MTV MIAW Awards Brazil,MTV MIAW Awards Brazil,_,MTVAward
184,Latin Music Italian Awards,Latin Music Italian Awards,_,GenericAward
185,Soribada Best K-Music Awards,Soribada Best K-Music Awards,_,GenericAward
186,Seoul Music Award for Rookie of the Year,Seoul Music Award,Rookie of the Year,GenericAward
187,Latin Grammy Award for Best Rap/Hip Hop Song,Latin Grammy Award,Best Rap/Hip Hop Song,GrammyAward
188,Latin Grammy Award for Best Recording Package,Latin Grammy Award,Best Recording Package,GrammyAward
189,First prize of the Eurovision Song Contest,First prize of the Eurovision Song Contest,_,GenericAward
190,MTV Europe Music Award for Best Korean Act,MTV Europe Music Award,Best Korean Act,MTVAward
191,P3 Gull for Artist of the Year,P3 Gull,Artist of the Year,GenericAward
192,Premios Musa,Premios Musa,_,GenericAward
